EXAMPLE_year_quarter;EXAMPLE_price;EXAMPLE_floor_area_log;EXAMPLE_distance_nearest_trainstation_log;EXAMPLE_neighbourhood_code;EXAMPLE_dummy_large_city
2008Q1;207700;114;8,3;E;0
2008Q1;85000;63;1,6;E;0
2008Q1;1244538;3551;2,4;B;0
2008Q1;160000;114;1,8;D;0
2008Q1;4750000;617;2;A;1
2008Q1;149000;111;12,8;D;0
2008Q1;475000;252;2;A;1
2008Q1;112144;102;29,6;C;0
2008Q1;247500;60;0,9;A;1
2008Q1;166497;139;1,2;B;0
2008Q1;102085;155;1;C;0
2008Q1;130000;34;1,9;A;1
2008Q1;345000;146;1,2;D;0
2008Q1;265421;163;2;E;0
2008Q1;97950;470;11,6;E;0
2008Q1;1160000;1237;1,1;B;0
2008Q1;681675;434;3,1;A;0
2008Q1;322128;100;2;A;1
2008Q1;242500;120;6,8;B;0
2008Q1;570000;219;2,7;A;0
2008Q1;382500;586;3,1;C;0
2008Q1;703263;369;16,6;B;0
2008Q1;204212;138;0,9;C;0
2008Q1;79730;72;2,7;C;0
2008Q1;171090;434;5,2;B;0
2008Q1;880000;368;3,6;D;0
2008Q1;145870;149;6,6;B;0
2008Q1;361258;161;3,3;A;0
2008Q1;287975;214;5,4;C;0
2008Q1;148141;101;7,3;C;0
2008Q1;670000;427;0,6;B;0
2008Q1;422000;119;0,7;B;0
2008Q1;270000;868;1,2;E;0
2008Q1;183000;115;5,4;E;0
2008Q1;1433000;1129;1,6;C;0
2008Q1;323116;108;1,3;A;0
2008Q1;175000;83;11,7;C;0
2008Q1;325000;168;7,1;E;0
2008Q1;1750000;3016;4,8;D;0
2008Q1;414809;590;0,7;A;0
2008Q1;52500;62;6,1;B;0
2008Q1;462712;191;0,9;A;0
2008Q1;452200;229;3,7;C;0
2008Q1;73300;70;2,6;D;0
2008Q1;362045;115;2,5;D;0
2008Q1;194361;106;8,3;E;0
2008Q1;1435105;334;0,8;A;1
2008Q1;141754;145;6,6;B;0
2008Q1;251443;85;1,7;B;0
2008Q1;240000;93;9,1;C;0
2008Q1;205000;82;6,1;A;0
2008Q1;225000;70;33,6;A;0
2008Q1;262500;177;2,3;B;0
2008Q1;189000;428;3,7;B;1
2008Q1;187500;161;1,4;C;0
2008Q1;4240000;1050;1,6;A;1
2008Q1;970000;466;1,6;A;0
2008Q1;360000;645;3,8;A;0
2008Q1;117500;135;2,4;C;0
2008Q1;370000;230;0,9;C;0
2008Q1;34189;106;4,7;A;0
2008Q1;197500;229;5,1;D;0
2008Q1;64260;84;1,2;A;0
2008Q1;245000;84;0,7;A;0
2008Q1;261054;111;2,5;E;0
2008Q1;280401;136;0,7;A;0
2008Q1;525000;389;0,4;A;0
2008Q1;370000;175;13,1;C;0
2008Q1;341667;205;4,1;C;0
2008Q1;1900000;476;1;B;0
2008Q1;160000;146;1,1;C;0
2008Q1;81472;66;1,6;E;0
2008Q1;161000;118;9,8;D;0
2008Q1;95753;151;1,4;B;0
2008Q2;80619;137;3,4;A;0
2008Q2;281029;140;2,6;D;0
2008Q2;577000;2012;10,4;E;0
2008Q2;220000;158;12,2;D;0
2008Q2;1526199;840;2,4;B;0
2008Q2;198000;225;3,4;C;0
2008Q2;480000;664;2,1;C;0
2008Q2;98013;79;1,6;C;0
2008Q2;1350000;1286;3,6;C;0
2008Q2;135000;73;1;C;0
2008Q2;85607;137;3,1;C;0
2008Q2;330000;484;5,7;B;0
2008Q2;70000;49;8,6;B;0
2008Q2;683576;213;2;A;1
2008Q2;41513;75;1,9;B;0
2008Q2;239500;102;1,3;A;0
2008Q2;183640;150;1,8;D;0
2008Q2;150000;182;1;C;0
2008Q2;2200000;3485;11,7;D;0
2008Q2;117500;183;22,4;D;0
2008Q2;260000;52;0,9;A;1
2008Q2;535000;147;2,4;A;1
2008Q2;325000;253;38,1;B;0
2008Q2;151000;83;0,6;D;0
2008Q2;124500;109;7,4;B;0
2008Q2;173761;118;2,9;D;0
2008Q2;240000;166;1,2;A;1
2008Q2;680000;941;1,8;B;0
2008Q2;670000;953;1,2;B;0
2008Q2;150458;119;2,5;D;0
2008Q2;57534;133;7,1;E;0
2008Q2;150000;116;1;C;0
2008Q2;155839;433;6,8;D;0
2008Q2;130000;92;2,6;B;0
2008Q2;1450000;216;1,4;D;0
2008Q2;340000;373;2,1;C;0
2008Q2;172751;130;2,2;E;0
2008Q2;129500;82;2,9;D;0
2008Q2;180000;218;7,1;E;0
2008Q2;545000;453;10,7;C;0
2008Q2;80000;59;2,7;D;0
2008Q2;387500;69;3,1;A;0
2008Q2;2080000;1846;0,8;B;0
2008Q2;140353;120;1,3;A;0
2008Q2;380000;167;0,5;E;0
2008Q2;475000;261;0,6;B;0
2008Q2;160000;61;2,1;A;0
2008Q2;630000;553;5;C;1
2008Q2;165550;248;2;B;0
2008Q2;2668000;2587;0,6;C;0
2008Q2;342000;67;4,1;A;0
2008Q2;277500;199;0,9;E;0
2008Q2;625000;348;0,7;D;0
2008Q2;77388;87;1,9;B;0
2008Q2;82349;114;6,6;B;0
2008Q2;750000;1211;14,9;C;0
2008Q2;47638;56;4,2;E;0
2008Q2;280000;111;3,9;C;0
2008Q2;170000;44;0,8;A;0
2008Q2;238548;600;1,6;B;0
2008Q2;109000;109;6,4;B;0
2008Q2;250000;154;12,9;D;0
2008Q2;119095;134;3,8;C;0
2008Q2;725000;195;3,5;A;0
2008Q2;78566;150;6,5;B;0
2008Q2;1742000;1929;10,3;C;0
2008Q2;760000;255;0,7;B;0
2008Q2;75800;54;3,4;D;0
2008Q2;178300;92;2,6;A;0
2008Q2;310000;111;8,3;C;0
2008Q2;410000;131;7;B;0
2008Q2;74000;60;3,6;B;0
2008Q2;630037;402;12,8;D;0
2008Q2;254056;669;2,5;B;1
2008Q2;245000;248;8,1;D;0
2008Q2;4550000;3291;2,6;D;0
2008Q2;2528750;1950;2,4;B;0
2008Q2;90509;99;15,6;B;0
2008Q2;1462452;1027;3,4;B;0
2008Q2;195000;96;5,3;B;0
2008Q2;360000;89;1,9;A;0
2008Q2;704000;147;0,6;A;0
2008Q2;875000;1083;2,5;B;1
2008Q2;950000;800;3,6;D;0
2008Q2;750000;320;0,9;A;0
2008Q2;375000;248;3,8;B;0
2008Q2;340035;115;2,4;A;1
2008Q2;79000;45;4,2;E;0
2008Q2;263871;523;15,4;C;0
2008Q2;380000;474;3,1;B;0
2008Q2;1219358;654;4,3;D;0
2008Q2;82500;70;2,2;E;0
2008Q2;100690;71;1,6;E;0
2008Q2;275000;145;0,9;C;0
2008Q2;239500;102;3,4;C;0
2008Q2;101757;125;6,6;B;0
2008Q2;818323;98;1,1;A;0
2008Q2;272233;154;1,9;A;1
2008Q2;153500;111;1,4;D;0
2008Q2;418982;554;3,8;C;0
2008Q2;450000;155;4,1;D;0
2008Q2;390000;190;1,5;E;0
2008Q2;1350000;966;1,7;D;0
2008Q2;44516;54;4,2;E;0
2008Q2;103688;125;6,6;B;0
2008Q2;3445000;481;2,2;A;1
2008Q2;210000;82;6,2;C;0
2008Q2;154000;85;0,6;D;0
2008Q2;3294068;1717;24,5;D;0
2008Q2;258824;161;4,4;D;0
2008Q2;103000;64;3,6;D;0
2008Q2;190000;88;1;B;0
2008Q2;53875;53;3,4;E;0
2008Q2;304952;172;14,5;C;0
2008Q2;70644;122;2,7;E;0
2008Q2;223000;127;0,8;E;0
2008Q2;58925;91;6,5;B;0
2008Q2;366545;110;3,1;A;0
2008Q2;59000;39;0,7;E;0
2008Q2;392219;128;6,5;B;0
2008Q2;501951;336;1,7;B;0
2008Q2;176091;120;0,6;E;0
2008Q2;275000;105;6,4;B;0
2008Q2;144000;76;3,2;B;0
2008Q2;167379;33;7,9;B;0
2008Q2;25478789;1329;1;B;0
2008Q2;260000;194;0,9;B;0
2008Q2;142500;120;4,5;E;0
2008Q2;85607;137;3,1;C;0
2008Q2;275000;139;1,9;A;0
2008Q2;56000;79;7,1;E;0
2008Q2;780000;995;2,3;E;0
2008Q2;67873;81;2,2;E;0
2008Q2;1750000;525;0,6;B;0
2008Q2;84261;127;3,1;C;0
2008Q2;47228241;5017;0,7;A;0
2008Q2;325000;257;1;C;0
2008Q2;48627;55;4,2;E;0
2008Q2;230000;313;1,2;C;0
2008Q2;242500;112;13,3;B;0
2008Q2;190000;290;8,1;D;0
2008Q2;203879;40;1,5;C;0
2008Q2;140000;43;1,9;A;1
2008Q2;755000;177;5,5;B;0
2008Q2;215500;77;1,7;A;0
2008Q2;148505;135;3,7;D;0
2008Q2;255000;115;7,6;B;0
2008Q2;290000;147;1,3;C;0
2008Q2;243000;200;4,3;B;0
2008Q2;92500;36;1,9;A;0
2008Q3;165000;111;1;B;0
2008Q3;450000;113;2,3;A;0
2008Q3;129000;121;5,5;E;0
2008Q3;99955;144;3,6;B;0
2008Q3;215000;100;1,1;B;0
2008Q3;227500;110;3,6;D;0
2008Q3;82000;70;1;D;0
2008Q3;308392;134;3,8;A;0
2008Q3;125000;185;1,5;E;0
2008Q3;375000;917;13,4;D;0
2008Q3;143244;126;2,2;D;0
2008Q3;3157484;1625;2,1;E;0
2008Q3;590661;302;13,5;C;0
2008Q3;180000;82;4,6;B;0
2008Q3;314000;182;0,8;C;0
2008Q3;187500;250;9,1;B;0
2008Q3;20015;81;6,5;B;0
2008Q3;354690;378;1,2;B;0
2008Q3;58100;239;1,2;E;0
2008Q3;284000;272;1,6;E;0
2008Q3;26442;110;4,5;B;0
2008Q3;29851;111;5,3;B;0
2008Q3;237447;33;6,2;A;0
2008Q3;112500;108;19,8;E;0
2008Q3;325000;592;0,9;E;0
2008Q3;1475092;163;6,5;B;0
2008Q3;109500;133;5,2;D;0
2008Q3;56525;270;7,2;D;0
2008Q3;154000;68;5,1;C;0
2008Q3;145000;67;1,8;C;0
2008Q3;380000;595;0,7;D;0
2008Q3;123555;125;2,1;E;0
2008Q3;351716;54;0,5;A;1
2008Q3;92500;74;1;D;0
2008Q3;225000;128;1;B;0
2008Q3;2700000;94;32,2;C;0
2008Q3;1420733;174;4,4;C;0
2008Q3;90108;77;9,2;B;0
2008Q3;160567;68;0,9;A;0
2008Q3;127125;75;1,8;B;0
2008Q3;175000;50;1,1;B;0
2008Q3;124000;173;1,9;C;0
2008Q3;136500;105;3,7;D;0
2008Q3;91889;204;6,4;B;0
2008Q3;302000;214;16,9;C;0
2008Q3;375755;297;1,6;B;0
2008Q3;193539;132;4,7;A;0
2008Q3;320895;51;0,5;A;1
2008Q3;71863;94;0,8;C;0
2008Q3;349000;153;6,7;A;0
2008Q3;464000;263;1,5;A;0
2008Q3;714161;171;5,9;B;0
2008Q3;154000;69;2,4;B;0
2008Q3;102500;110;1,8;C;0
2008Q3;406594;625;11,3;D;0
2008Q3;34570;117;7,4;B;0
2008Q3;145000;91;1,7;A;0
2008Q3;754201;142;6,8;C;0
2008Q3;395000;77;1,2;A;1
2008Q3;290000;117;1,8;A;0
2008Q3;253320;185;1,9;A;1
2008Q3;939756;4251;15,5;D;0
2008Q3;42875920;8536;2,1;A;1
2008Q3;147500;114;3;C;0
2008Q3;260000;307;6,3;C;0
2008Q3;285195;349;2,2;E;0
2008Q3;3602653;7048;1,3;D;0
2008Q3;50179;124;7,9;B;0
2008Q3;687500;248;0,9;B;0
2008Q3;99651;102;0,9;C;0
2008Q3;114000;222;0,5;E;0
2008Q3;208470;78;1,4;A;0
2008Q3;230000;199;1,7;E;0
2008Q3;1150000;1464;0,6;A;0
2008Q3;793930;500;5,2;B;0
2008Q3;148000;50;0,7;C;0
2008Q3;173134;49;3,4;E;0
2008Q3;77000;66;1,5;C;0
2008Q3;60000;56;4,2;E;0
2008Q3;1918306;1084;2,4;D;0
2008Q3;134000;133;1,6;E;0
2008Q3;215000;147;1,9;B;0
2008Q3;270000;90;1,5;B;0
2008Q3;154615;121;1,1;C;0
2008Q3;146000;118;2,2;A;0
2008Q3;167000;113;16,8;D;0
2008Q3;153518;72;0,9;A;0
2008Q3;384000;222;2,4;A;0
2008Q3;235000;120;7,9;B;0
2008Q3;342266;176;0,9;D;0
2008Q3;218000;66;0,5;B;0
2008Q3;280000;95;3,5;A;0
2008Q3;217500;92;1,1;A;0
2008Q3;641252;480;3,3;C;0
2008Q3;133000;84;3,7;D;0
2008Q3;248876;98;10,1;A;0
2008Q3;550000;590;1,7;E;0
2008Q3;1550000;4451;0,7;B;0
2008Q3;225000;209;2,3;D;0
2008Q3;55000;124;3,8;E;0
2008Q3;250000;167;6;B;0
2008Q3;40000;66;10,8;B;0
2008Q3;2872189;2190;3,3;B;0
2008Q3;277500;520;4,9;B;0
2008Q3;260120;59;7,4;B;0
2008Q3;123000;104;7,4;A;0
2008Q3;935340;3791;3,1;B;0
2008Q3;225000;126;1,1;B;0
2008Q3;473210;161;18,7;B;0
2008Q3;5954121;1959;1,7;A;0
2008Q3;111000;57;1,6;C;0
2008Q3;182500;52;2,4;B;1
2008Q3;225000;100;7,2;B;0
2008Q3;350000;330;2,5;B;1
2008Q3;72500;98;1,5;E;0
2008Q3;161000;81;12,1;C;0
2008Q3;97500;81;5,2;B;0
2008Q3;310613;42;6,2;A;0
2008Q3;27251;62;0,9;C;0
2008Q3;446469;526;1,4;B;0
2008Q3;40898;135;6,4;B;0
2008Q3;655127;3247;11;C;0
2008Q3;348500;120;1;A;1
2008Q3;195100;117;1,2;C;0
2008Q3;8350000;2076;0,8;A;0
2008Q3;155400;76;4,4;C;0
2008Q3;1322346;3502;38,7;E;0
2008Q3;450835;97;6,2;A;0
2008Q3;4180393;2052;1,7;D;0
2008Q3;193694;205;2,7;D;0
2008Q3;220000;97;2,4;A;0
2008Q3;889156;2229;1,7;E;0
2008Q3;215000;331;3,6;B;0
2008Q3;92000;60;0,4;C;0
2008Q3;130000;83;1,3;E;0
2008Q3;245001;227;2,7;C;0
2008Q3;506667;1639;1,1;D;0
2008Q3;375000;113;2;A;0
2008Q3;690000;224;1,9;A;0
2008Q3;85000;67;1,2;D;0
2008Q3;550000;132;2;A;1
2008Q3;5,40E+05;664;1,4;C;0
2008Q3;229075;305;12,3;D;0
2008Q3;186607;143;1,9;E;0
2008Q3;382140;129;2,8;A;1
2008Q3;710000;163;0,9;A;1
2008Q3;101536;165;6,9;E;0
2008Q3;468844;511;1,7;A;0
2008Q3;225000;197;1,7;B;0
2008Q3;1560520;1062;3,8;E;0
2008Q4;777307;3409;5;C;1
2008Q4;160045;95;1,6;C;0
2008Q4;295000;108;4,3;B;0
2008Q4;121476;112;1,9;B;0
2008Q4;460000;156;8;C;0
2008Q4;28203;127;4,1;C;0
2008Q4;1288184;2069;1,4;B;0
2008Q4;159578;92;6,1;B;0
2008Q4;1150000;1822;12;B;0
2008Q4;1720518;462;0,6;A;0
2008Q4;162568;539;2,1;A;0
2008Q4;434145;291;6,1;B;0
2008Q4;235000;1018;1,5;E;0
2008Q4;82500;101;1,4;E;0
2008Q4;45100;53;3,4;E;0
2008Q4;450000;1036;2,1;C;0
2008Q4;149940;72;13;C;0
2008Q4;180000;193;2,1;A;0
2008Q4;125000;213;1,4;C;0
2008Q4;390000;136;0,9;C;0
2008Q4;90971;146;5,8;C;0
2008Q4;1393834;2404;1,2;A;0
2008Q4;95000;72;28,2;C;0
2008Q4;276892;140;1,7;C;0
2008Q4;210000;98;2,6;B;1
2008Q4;94664;90;0,8;D;0
2008Q4;152276;115;1,6;C;0
2008Q4;240000;118;0,9;D;0
2008Q4;875000;3173;13,9;D;0
2008Q4;137195;194;4,2;E;0
2008Q4;900000;927;1,2;B;0
2008Q4;144081;144;3,2;E;0
2008Q4;145284;73;3,8;B;0
2008Q4;1324027;1743;5,9;C;0
2008Q4;44689;168;3,8;E;0
2008Q4;260000;80;1,2;B;0
2008Q4;625000;511;5;B;0
2008Q4;450000;656;1,2;C;0
2008Q4;1610000;1994;2,1;B;1
2008Q4;178000;138;2,5;C;0
2008Q4;88000;72;2,1;E;0
2008Q4;243950;238;2,5;B;0
2008Q4;70000;104;2,1;D;0
2008Q4;109702;70;1,6;C;0
2008Q4;70049;47;4,2;E;0
2008Q4;197000;112;1,3;C;0
2008Q4;547042;449;1,2;E;0
2008Q4;131800;73;10,6;C;0
2008Q4;238514;112;3,8;B;0
2008Q4;148392;90;6;B;0
2008Q4;520000;276;0,7;A;0
2008Q4;120879;106;1,6;D;0
2008Q4;335234;94;3,3;C;0
2008Q4;161599;89;3,8;B;0
2008Q4;515500;1086;16,7;D;0
2008Q4;83905;119;2,2;E;0
2008Q4;95000;168;2,3;E;0
2008Q4;305000;260;3,3;B;0
2008Q4;77200;80;0,9;C;0
2008Q4;87724;123;0,5;E;0
2008Q4;157750;108;9;C;0
2008Q4;150722;112;3,8;B;0
2008Q4;75000;55;1,2;E;0
2008Q4;46543;149;4,1;C;0
2008Q4;152276;97;1,6;C;0
2008Q4;237405;238;2,5;B;0
2008Q4;1223826;599;4,8;A;0
2008Q4;94664;90;0,8;D;0
2008Q4;991286;214;1,7;A;0
2008Q4;599584;336;12,8;D;0
2008Q4;123036;120;2,7;D;0
2008Q4;127888;133;1,6;B;0
2008Q4;141949;193;3,4;E;0
2008Q4;471000;158;9,5;A;0
2008Q4;885000;1036;1,7;B;0
2008Q4;142250;99;1;D;0
2008Q4;134500;44;0,7;A;0
2008Q4;159252;58;1,9;C;0
2008Q4;81250;96;16,3;B;0
2008Q4;148348;147;14,3;C;0
2008Q4;725000;613;16,7;B;0
2008Q4;127790;117;1,4;C;0
2008Q4;121436;77;5,3;D;0
2008Q4;133098;81;1,3;C;0
2008Q4;18716;88;3,5;B;0
2008Q4;127500;82;5,3;A;0
2008Q4;187437;97;6,4;B;0
2008Q4;1794526;6912;9,1;A;0
2008Q4;108350;88;2,1;E;0
2008Q4;126000;122;4;D;0
2008Q4;168310;86;7;B;0
2008Q4;450000;1634;0,7;B;0
2008Q4;154607;72;6;B;0
2008Q4;350000;188;1,2;A;0
2008Q4;2527002;379;3,2;A;0
2008Q4;29418;104;11;C;0
2008Q4;160000;116;1,5;E;0
2008Q4;239264;182;1,7;C;0
2008Q4;22753;105;11;C;0
2008Q4;142953;74;6;B;0
2008Q4;1350000;447;0,8;A;1
2008Q4;167500;170;20,4;D;0
2008Q4;312500;182;6,1;B;0
2008Q4;473902;192;2;D;0
2008Q4;165053;92;6,1;B;0
2008Q4;290500;93;1,3;A;1
2008Q4;666667;116;3,7;A;0
2008Q4;64104;107;1,4;C;0
2008Q4;336365;200;6,1;B;0
2008Q4;104107;72;7,7;C;0
2008Q4;666667;116;3,7;A;0
2008Q4;176333;40;2,2;A;1
2008Q4;1687343;4686;2,6;C;0
2008Q4;112903;108;9,2;B;0
2008Q4;324000;62;2;A;1
2008Q4;215000;167;6,9;E;0
2008Q4;117000;93;1,6;D;0
2008Q4;350000;238;4,4;C;0
2008Q4;254053;131;6;B;0
2008Q4;146061;121;7,7;C;0
2008Q4;340000;154;4,3;B;0
2008Q4;14387299;2145;1;A;0
2008Q4;2595000;5028;10,5;D;0
2008Q4;150000;159;1,1;C;0
2008Q4;123460;77;5,3;D;0
2008Q4;185000;667;0,7;C;0
2008Q4;124679;108;0,8;D;0
2008Q4;115000;140;13,4;C;0
2008Q4;185000;35;6,8;C;0
2008Q4;190000;151;1,9;B;0
2008Q4;337493;637;0,7;E;0
2008Q4;1379820;536;1,6;D;0
2008Q4;432232;558;5,8;C;0
2008Q4;183045;128;6,1;C;0
2008Q4;176344;137;1,7;E;0
2008Q4;119250;72;4,4;B;0
2008Q4;94664;90;0,8;D;0
2008Q4;130678;82;1,3;C;0
2008Q4;4900000;2550;3,1;B;0
2008Q4;159578;92;6,1;B;0
2008Q4;985093;1152;8;D;0
2008Q4;452200;260;7;C;0
2008Q4;5293749;2903;2,8;B;0
2008Q4;407500;345;0,6;D;0
2008Q4;152000;110;1,9;B;0
2008Q4;137500;196;38,7;B;0
2008Q4;150000;128;1,6;D;0
2008Q4;464215;459;1,2;A;0
2008Q4;71963;46;10,5;D;0
2008Q4;275000;234;1,2;E;0
2009Q1;210000;92;4,4;B;0
2009Q1;216000;132;4,6;D;0
2009Q1;160000;95;1,6;C;0
2009Q1;42000;100;15,6;E;0
2009Q1;33000;85;1;E;0
2009Q1;160000;112;1,7;D;0
2009Q1;295000;99;1;A;0
2009Q1;650000;510;7,2;D;0
2009Q1;206000;168;2;A;1
2009Q1;121000;87;3,3;D;0
2009Q1;350000;262;44,8;D;0
2009Q1;1620000;66;1,7;E;0
2009Q1;119000;237;11,4;C;0
2009Q1;165000;81;1,8;C;0
2009Q1;107000;64;1,2;D;0
2009Q1;620000;1058;2,7;D;0
2009Q1;140000;152;3,5;D;0
2009Q1;153000;129;21,8;C;0
2009Q1;312500;1491;1,1;B;0
2009Q1;330000;267;7,1;B;0
2009Q1;325000;305;12,2;C;0
2009Q1;412500;177;6;A;0
2009Q1;225000;86;2,2;A;0
2009Q1;127000;425;0,8;E;0
2009Q1;245000;140;2,4;D;0
2009Q1;90000;91;2,1;E;0
2009Q1;280000;74;2,8;A;1
2009Q1;62500;63;1;C;0
2009Q1;480000;310;1,3;A;0
2009Q1;1412500;320;2,2;A;1
2009Q1;145000;131;3,4;E;0
2009Q1;275000;140;1,2;E;0
2009Q1;180000;103;8,3;B;0
2009Q1;145000;50;3,3;D;0
2009Q1;450000;210;1,1;E;0
2009Q1;160000;117;2,3;E;0
2009Q1;585000;240;13,1;D;0
2009Q1;450000;223;1,1;C;0
2009Q1;365000;121;0,6;A;0
2009Q1;187000;80;1,2;B;0
2009Q1;455000;911;3;B;0
2009Q1;117500;103;6,7;E;0
2009Q1;1175000;1340;1,4;C;0
2009Q1;190000;294;0,9;C;0
2009Q1;98000;85;1,1;C;0
2009Q1;148500;102;3,4;D;0
2009Q1;285000;167;10;D;0
2009Q1;65000;82;5,4;D;0
2009Q1;112500;72;1,2;E;0
2009Q1;105000;114;17,6;E;0
2009Q1;260000;220;8,5;A;0
2009Q1;375000;218;0,9;D;0
2009Q1;175000;88;12,5;E;0
2009Q1;38675;45;10,5;C;0
2009Q1;35000;58;1,2;D;0
2009Q1;120000;259;1,5;B;0
2009Q1;315000;433;12,2;C;0
2009Q1;94000;107;0,8;E;0
2009Q1;92000;82;0,5;E;0
2009Q1;130000;118;5,2;D;0
2009Q1;89000;69;1;E;0
2009Q1;215000;205;1,6;E;0
2009Q1;113000;60;2,7;E;0
2009Q1;215000;357;2,2;C;0
2009Q1;166600;70;2,3;B;0
2009Q1;359000;510;1,5;C;0
2009Q1;395000;313;1,6;C;0
2009Q1;46000;69;2;E;0
2009Q1;225000;146;5,7;C;0
2009Q1;120000;92;0,8;B;0
2009Q1;327250;1531;23,8;C;0
2009Q1;142000;121;2,8;E;0
2009Q1;162500;168;4,2;E;0
2009Q1;135000;188;2,6;D;0
2009Q1;75000;95;2,3;E;0
2009Q1;125000;96;3,3;B;0
2009Q1;279000;63;1,6;A;1
2009Q1;122500;54;7,1;C;0
2009Q1;164000;88;1,7;A;0
2009Q1;230000;153;11,1;B;0
2009Q1;228000;815;1,6;C;0
2009Q1;415000;664;5,7;C;0
2009Q1;1862500;425;1,2;C;0
2009Q1;237500;116;1,5;B;0
2009Q1;1355000;1023;3,6;B;0
2009Q1;470000;623;15,5;D;0
2009Q1;195000;123;56,5;D;0
2009Q1;145000;91;1,9;C;0
2009Q1;230000;268;1,7;B;0
2009Q1;136350;172;2,5;C;0
2009Q1;1075000;1070;3,2;D;0
2009Q1;190000;107;2,2;B;0
2009Q1;290000;351;1,3;D;0
2009Q1;335000;183;1,6;E;0
2009Q1;275000;127;7,9;B;0
2009Q1;2100000;1887;0,8;B;0
2009Q1;56000;70;0,8;E;0
2009Q1;465000;345;1,9;B;0
2009Q1;150000;472;2,4;E;0
2009Q1;170000;352;1;E;0
2009Q1;180000;77;1,7;A;0
2009Q1;110000;60;1,1;B;0
2009Q1;150000;135;9,1;D;0
2009Q1;170000;186;1,8;B;0
2009Q1;900000;179;1,6;A;1
2009Q1;295000;113;3,8;B;0
2009Q1;53000;123;3,8;E;0
2009Q1;65000;184;2,8;E;0
2009Q1;265000;612;25,7;D;0
2009Q1;163030;136;12,7;B;0
2009Q1;93000;75;6,8;B;0
2009Q1;790000;200;9,5;A;0
2009Q1;134500;90;31,4;B;0
2009Q1;380000;122;8,8;D;0
2009Q1;165000;73;5,6;C;0
2009Q1;107000;71;2,3;A;0
2009Q1;435000;864;1,9;C;0
2009Q1;310000;174;1,7;A;1
2009Q1;425500;148;9,3;C;0
2009Q1;2050000;4273;2,1;D;0
2009Q1;87000;81;1,5;E;0
2009Q1;97500;57;0,8;B;0
2009Q1;141200;96;1;D;0
2009Q1;197500;182;11,1;D;0
2009Q1;255000;117;4,5;D;0
